sp|Q6P575|BGP11_HUMAN	len=273	ExpAA=7.12	First60=4.04	PredHel=0	Topology=o
sp|Q05D32|CTSL2_HUMAN	len=466	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q12830|BPTF_HUMAN	len=3046	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9H3K6|BOLA2_HUMAN	len=86	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q4G0I0|CSMT1_HUMAN	len=132	ExpAA=13.08	First60=0.09	PredHel=0	Topology=o
sp|Q3ZCQ2|AX2R_HUMAN	len=193	ExpAA=5.04	First60=0.00	PredHel=0	Topology=o
sp|Q5VT79|AXA81_HUMAN	len=327	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9P2W7|B3GA1_HUMAN	len=334	ExpAA=19.89	First60=19.85	PredHel=1	Topology=i7-24o
sp|Q6Y288|B3GLT_HUMAN	len=498	ExpAA=22.10	First60=21.22	PredHel=1	Topology=i7-29o
sp|Q6UXQ4|CB066_HUMAN	len=117	ExpAA=18.56	First60=18.56	PredHel=1	Topology=o20-39i
sp|O60729|CC14B_HUMAN	len=498	ExpAA=4.44	First60=0.00	PredHel=0	Topology=o
sp|P25774|CATS_HUMAN	len=331	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q13948|CASP_HUMAN	len=678	ExpAA=21.71	First60=0.00	PredHel=1	Topology=o619-641i
sp|Q96JN2|CC136_HUMAN	len=1154	ExpAA=18.54	First60=0.00	PredHel=1	Topology=o1130-1149i
sp|Q92851|CASPA_HUMAN	len=521	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q9UBR2|CATZ_HUMAN	len=303	ExpAA=17.79	First60=17.77	PredHel=1	Topology=i7-26o
sp|Q9P0B6|CC167_HUMAN	len=97	ExpAA=18.72	First60=0.00	PredHel=1	Topology=i78-95o
sp|Q9BRT8|CBWD1_HUMAN	len=395	ExpAA=0.48	First60=0.30	PredHel=0	Topology=o
sp|O60840|CAC1F_HUMAN	len=1977	ExpAA=451.87	First60=0.00	PredHel=19	Topology=i96-115o130-152i161-180o238-260i317-339o349-371i525-547o567-589i656-678o728-750i867-889o909-931i943-965o1000-1022i1116-1138o1183-1205i1225-1244o1326-1345i1418-1440o
sp|Q9BUN5|CC28B_HUMAN	len=200	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
sp|Q3MIR4|CC50B_HUMAN	len=351	ExpAA=55.85	First60=22.82	PredHel=2	Topology=i29-51o318-340i
sp|Q8IYL3|CA174_HUMAN	len=243	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q8TF44|C2C4C_HUMAN	len=421	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q8N1Q1|CAH13_HUMAN	len=262	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
sp|Q8TAB7|CCD26_HUMAN	len=109	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q16667|CDKN3_HUMAN	len=212	ExpAA=3.37	First60=0.03	PredHel=0	Topology=o
