sp|Q8NGR5|OR1L4_HUMAN	len=311	ExpAA=138.15	First60=23.57	PredHel=6	Topology=i28-50o60-79i92-109o205-227i239-261o276-293i
sp|Q8NG83|OR2M3_HUMAN	len=312	ExpAA=149.30	First60=23.73	PredHel=7	Topology=o26-48i61-83o98-120i140-162o198-220i241-263o273-292i
sp|Q9ULJ1|ODF2L_HUMAN	len=636	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q96PE5|OPALI_HUMAN	len=141	ExpAA=22.63	First60=22.63	PredHel=1	Topology=o31-53i
sp|A8MYP8|ODF3B_HUMAN	len=253	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P47893|OR3A2_HUMAN	len=321	ExpAA=127.54	First60=23.05	PredHel=5	Topology=o35-57i69-91o111-133i153-175o206-228i
sp|P52948|NUP98_HUMAN	len=1817	ExpAA=0.11	First60=0.04	PredHel=0	Topology=o
sp|Q8NGZ9|O2T10_HUMAN	len=312	ExpAA=134.47	First60=23.95	PredHel=6	Topology=i29-51o61-83i140-162o197-219i240-262o272-294i
sp|Q8NH01|O2T11_HUMAN	len=316	ExpAA=157.08	First60=27.13	PredHel=7	Topology=o23-45i58-80o95-117i138-160o195-217i238-260o270-289i
sp|Q8NGX2|O2T35_HUMAN	len=323	ExpAA=153.15	First60=24.08	PredHel=7	Topology=o27-49i61-83o98-120i140-162o197-219i239-258o273-292i
sp|Q96R69|OR4F4_HUMAN	len=305	ExpAA=149.88	First60=30.00	PredHel=7	Topology=o20-42i54-76o91-113i125-147o196-218i231-253o263-282i
sp|Q8NH37|OR4C3_HUMAN	len=302	ExpAA=149.64	First60=26.91	PredHel=7	Topology=o25-47i54-76o96-118i139-161o196-218i238-260o270-287i
sp|Q8NGI4|OR4DB_HUMAN	len=311	ExpAA=146.08	First60=23.42	PredHel=7	Topology=o26-48i61-83o98-120i141-163o203-225i238-260o270-289i
sp|P0C623|OR4Q2_HUMAN	len=307	ExpAA=141.63	First60=23.57	PredHel=7	Topology=o27-49i62-84o99-121i141-163o193-215i236-258o268-287i
sp|Q8NGD5|OR4KE_HUMAN	len=310	ExpAA=155.28	First60=24.64	PredHel=7	Topology=o28-50i57-79o99-121i142-164o204-226i239-261o271-290i
sp|Q96R67|OR4CC_HUMAN	len=309	ExpAA=134.99	First60=23.19	PredHel=6	Topology=i26-48o103-125i138-160o195-217i238-260o270-292i
sp|Q8NGB4|OR4S1_HUMAN	len=309	ExpAA=135.91	First60=23.18	PredHel=6	Topology=i25-47o99-118i139-161o201-223i236-258o268-287i
sp|A6NMZ5|O4C45_HUMAN	len=311	ExpAA=139.68	First60=27.79	PredHel=6	Topology=i21-43o102-121i142-164o204-226i238-260o270-289i
sp|P0DN80|OR5H8_HUMAN	len=308	ExpAA=151.37	First60=26.70	PredHel=8	Topology=i28-50o55-77i98-120o135-157i162-184o194-216i237-259o274-291i
sp|Q8NH61|O51F2_HUMAN	len=342	ExpAA=172.83	First60=36.55	PredHel=8	Topology=i13-31o41-63i75-97o112-134i155-177o214-236i257-276o286-308i
sp|Q9GZY0|NXF2_HUMAN	len=626	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q8NGJ0|OR5A1_HUMAN	len=315	ExpAA=153.73	First60=25.51	PredHel=7	Topology=o29-51i63-85o95-117i149-171o203-225i244-266o276-295i
sp|Q8NGF3|O51D1_HUMAN	len=324	ExpAA=179.69	First60=44.40	PredHel=8	Topology=i7-29o39-61i73-91o111-133i146-168o213-235i255-274o284-306i
sp|Q8NGC1|O11G2_HUMAN	len=345	ExpAA=155.65	First60=2.37	PredHel=7	Topology=o64-86i99-121o136-158i179-201o242-264i276-298o313-330i
sp|Q8NGN5|O10G8_HUMAN	len=311	ExpAA=153.89	First60=27.25	PredHel=7	Topology=o25-47i60-82o97-119i140-162o197-219i240-259o269-291i
sp|Q8NGS6|O13C3_HUMAN	len=347	ExpAA=169.46	First60=15.27	PredHel=8	Topology=i2-19o56-78i91-113o128-150i162-184o234-256i268-290o310-328i
sp|Q8NGI7|O10V1_HUMAN	len=309	ExpAA=157.72	First60=23.25	PredHel=7	Topology=o27-49i61-83o103-125i145-167o205-227i239-261o271-293i
sp|F5H284|PAL4D_HUMAN	len=164	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q13438|OS9_HUMAN	len=667	ExpAA=21.86	First60=21.86	PredHel=1	Topology=i7-29o
sp|Q8IZE3|PACE1_HUMAN	len=742	ExpAA=0.63	First60=0.03	PredHel=0	Topology=o
sp|Q08174|PCDH1_HUMAN	len=1060	ExpAA=23.45	First60=1.00	PredHel=1	Topology=o852-874i
sp|O95340|PAPS2_HUMAN	len=614	ExpAA=1.32	First60=0.39	PredHel=0	Topology=o
sp|Q9BSM1|PCGF1_HUMAN	len=259	ExpAA=0.04	First60=0.03	PredHel=0	Topology=o
sp|Q15111|PLCL1_HUMAN	len=1095	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P22891|PROZ_HUMAN	len=400	ExpAA=0.13	First60=0.04	PredHel=0	Topology=o
sp|Q8IYL9|PSYR_HUMAN	len=337	ExpAA=149.60	First60=34.75	PredHel=7	Topology=o15-37i49-71o91-110i130-152o181-203i224-246o271-293i
sp|Q9HCU5|PREB_HUMAN	len=417	ExpAA=43.62	First60=0.39	PredHel=2	Topology=o316-338i391-413o
sp|P49720|PSB3_HUMAN	len=205	ExpAA=0.09	First60=0.06	PredHel=0	Topology=o
sp|Q9BT73|PSMG3_HUMAN	len=122	ExpAA=3.80	First60=3.79	PredHel=0	Topology=o
sp|Q96HR9|REEP6_HUMAN	len=211	ExpAA=56.94	First60=18.83	PredHel=2	Topology=i43-65o85-107i
sp|Q0D2K3|RIPP1_HUMAN	len=151	ExpAA=1.12	First60=1.12	PredHel=0	Topology=o
sp|Q96MK2|RIPR3_HUMAN	len=946	ExpAA=0.02	First60=0.02	PredHel=0	Topology=o
sp|Q9Y4F9|RIPR2_HUMAN	len=1068	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q86UA6|RIP_HUMAN	len=219	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P49207|RL34_HUMAN	len=117	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
sp|P62945|RL41_HUMAN	len=25	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
sp|Q9Y2B2|PIGL_HUMAN	len=252	ExpAA=20.46	First60=18.62	PredHel=1	Topology=i5-22o
sp|P0CW24|PNM6A_HUMAN	len=399	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q99935|PROL1_HUMAN	len=248	ExpAA=0.13	First60=0.11	PredHel=0	Topology=o
sp|Q9UIG5|PS1C1_HUMAN	len=152	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9BWN1|PRR14_HUMAN	len=585	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q96EY7|PTCD3_HUMAN	len=689	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q9H939|PPIP2_HUMAN	len=334	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|O14522|PTPRT_HUMAN	len=1441	ExpAA=27.18	First60=0.00	PredHel=0	Topology=o
sp|P61224|RAP1B_HUMAN	len=184	ExpAA=2.28	First60=2.26	PredHel=0	Topology=o
sp|A6NNM3|RIM3B_HUMAN	len=1639	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q96NA2|RILP_HUMAN	len=401	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
sp|A6NNX1|RIAD1_HUMAN	len=92	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q6ZVN8|RGMC_HUMAN	len=426	ExpAA=20.80	First60=0.04	PredHel=1	Topology=o403-425i
sp|P35250|RFC2_HUMAN	len=354	ExpAA=0.04	First60=0.00	PredHel=0	Topology=o
sp|Q9BYZ6|RHBT2_HUMAN	len=727	ExpAA=0.03	First60=0.01	PredHel=0	Topology=o
sp|Q9BWE0|REPI1_HUMAN	len=567	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q15382|RHEB_HUMAN	len=184	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
sp|Q9HCM1|RESF1_HUMAN	len=1747	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P42331|RHG25_HUMAN	len=645	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q7Z5H3|RHG22_HUMAN	len=698	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q96L33|RHOV_HUMAN	len=236	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q5TAB7|RIPP2_HUMAN	len=128	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9NXI6|RN186_HUMAN	len=227	ExpAA=41.98	First60=0.02	PredHel=2	Topology=i155-173o177-199i
sp|Q9NV58|RN19A_HUMAN	len=838	ExpAA=52.10	First60=0.01	PredHel=2	Topology=o373-395i416-438o
sp|Q9BQ52|RNZ2_HUMAN	len=826	ExpAA=0.02	First60=0.00	PredHel=0	Topology=o
sp|P56715|RP1_HUMAN	len=2156	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|O95487|SC24B_HUMAN	len=1268	ExpAA=0.08	First60=0.01	PredHel=0	Topology=o
sp|Q15506|SP17_HUMAN	len=151	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q7Z333|SETX_HUMAN	len=2677	ExpAA=0.06	First60=0.00	PredHel=0	Topology=o
sp|Q01105|SET_HUMAN	len=290	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P49908|SEPP1_HUMAN	len=381	ExpAA=0.24	First60=0.14	PredHel=0	Topology=o
sp|Q9UHJ3|SMBT1_HUMAN	len=866	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q8NEM7|SP20H_HUMAN	len=779	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
sp|Q5SXM2|SNPC4_HUMAN	len=1469	ExpAA=0.95	First60=0.00	PredHel=0	Topology=o
sp|O43236|SEPT4_HUMAN	len=478	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
sp|P46721|SO1A2_HUMAN	len=670	ExpAA=256.48	First60=25.46	PredHel=12	Topology=i21-43o58-80i87-109o160-182i194-216o244-266i317-339o354-376i389-408o514-536i548-570o601-623i
sp|O75971|SNPC5_HUMAN	len=98	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q92835|SHIP1_HUMAN	len=1189	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q99719|SEPT5_HUMAN	len=369	ExpAA=0.21	First60=0.13	PredHel=0	Topology=o
sp|G3V0H7|SO1B7_HUMAN	len=640	ExpAA=239.69	First60=33.91	PredHel=11	Topology=i17-39o49-71i124-146o161-183i208-230o285-307i328-350o360-382i488-510o525-547i578-600o
sp|Q9BV90|SNR25_HUMAN	len=132	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9NYB5|SO1C1_HUMAN	len=712	ExpAA=240.72	First60=4.67	PredHel=10	Topology=i111-133o221-243i271-293o349-371i392-414o424-446i517-539o554-576i589-611o641-663i
sp|Q15637|SF01_HUMAN	len=639	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|P30626|SORCN_HUMAN	len=198	ExpAA=0.03	First60=0.03	PredHel=0	Topology=o
sp|Q8WVK2|SNR27_HUMAN	len=155	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q92599|SEPT8_HUMAN	len=483	ExpAA=0.01	First60=0.01	PredHel=0	Topology=o
sp|Q8TBC3|SHKB1_HUMAN	len=707	ExpAA=0.03	First60=0.00	PredHel=0	Topology=o
sp|Q92959|SO2A1_HUMAN	len=643	ExpAA=257.01	First60=11.29	PredHel=11	Topology=o71-93i100-122o173-195i208-230o256-278i326-348o363-385i397-419o514-536i557-576o606-628i
sp|Q02086|SP2_HUMAN	len=613	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q96DI7|SNR40_HUMAN	len=357	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q9UHD8|SEPT9_HUMAN	len=586	ExpAA=0.15	First60=0.00	PredHel=0	Topology=o
sp|O94956|SO2B1_HUMAN	len=709	ExpAA=248.87	First60=2.38	PredHel=11	Topology=o88-110i117-139o192-214i227-249o275-297i372-394o409-431i443-465o565-587i600-622o651-673i
sp|Q6UWV7|SHL2A_HUMAN	len=190	ExpAA=30.95	First60=3.50	PredHel=1	Topology=o56-90i
sp|A6NKW6|SHL2B_HUMAN	len=160	ExpAA=30.22	First60=0.44	PredHel=1	Topology=o60-94i
sp|Q15459|SF3A1_HUMAN	len=793	ExpAA=0.11	First60=0.00	PredHel=0	Topology=o
sp|O14544|SOCS6_HUMAN	len=535	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|O15266|SHOX_HUMAN	len=292	ExpAA=0.53	First60=0.00	PredHel=0	Topology=o
sp|Q9NRQ5|SMCO4_HUMAN	len=59	ExpAA=22.63	First60=22.63	PredHel=1	Topology=i30-52o
