sp|Q9BZM6|ULBP1_HUMAN	len=244	ExpAA=18.75	First60=1.12	PredHel=1	Topology=o226-243i
sp|P19086|GNAZ_HUMAN	len=355	ExpAA=0.13	First60=0.00	PredHel=0	Topology=o
sp|Q9Y342|PLLP_HUMAN	len=182	ExpAA=87.99	First60=20.28	PredHel=4	Topology=i37-56o66-88i100-122o142-164i
sp|Q8TCC7|S22A8_HUMAN	len=542	ExpAA=201.47	First60=16.13	PredHel=8	Topology=o15-37i127-144o177-199i211-233o243-265i326-348o358-380i387-409o
sp|P58400|NRX1B_HUMAN	len=472	ExpAA=40.01	First60=18.14	PredHel=2	Topology=i31-53o396-418i
sp|Q9ULB1|NRX1A_HUMAN	len=1477	ExpAA=30.87	First60=8.97	PredHel=1	Topology=o1401-1423i
sp|Q6UWM7|LCTL_HUMAN	len=567	ExpAA=25.02	First60=2.55	PredHel=1	Topology=o541-563i
sp|Q9UL68|MYT1L_HUMAN	len=1186	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q92782|DPF1_HUMAN	len=387	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|O60688|YPEL1_HUMAN	len=119	ExpAA=0.00	First60=0.00	PredHel=0	Topology=i
sp|A6NHX0|CAST2_HUMAN	len=329	ExpAA=0.21	First60=0.18	PredHel=0	Topology=o
sp|Q92567|F168A_HUMAN	len=244	ExpAA=0.63	First60=0.02	PredHel=0	Topology=o
sp|Q9UQC2|GAB2_HUMAN	len=676	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
sp|Q7Z5S9|TM144_HUMAN	len=345	ExpAA=214.60	First60=41.36	PredHel=10	Topology=o10-29i38-60o64-86i93-115o125-144i188-210o230-252i264-286o291-313i320-342o
sp|Q13508|NAR3_HUMAN	len=389	ExpAA=26.54	First60=4.93	PredHel=1	Topology=o366-388i
sp|Q8N136|DAW1_HUMAN	len=415	ExpAA=0.01	First60=0.00	PredHel=0	Topology=o
sp|Q53FP2|NACHO_HUMAN	len=167	ExpAA=73.81	First60=20.80	PredHel=3	Topology=i7-26o89-108i115-132o
sp|Q8IZI9|IFNL3_HUMAN	len=196	ExpAA=18.90	First60=18.90	PredHel=1	Topology=i7-25o
sp|O14531|DPYL4_HUMAN	len=572	ExpAA=0.00	First60=0.00	PredHel=0	Topology=o
